turn,player,budget,action1,action2,action3,action4,action5,action6
1,3,15,Collect frequency:2,Maintenance of water treatment facilities:false,Install water treatment facilities for every home:(P1%60;P2%60;P3%60;P4%60;)
1,4,0,Collect frequency:4,Maintenance of water treatment facilities:false
1,1,0,Collect frequency:2,Maintenance of water treatment facilities:false,Organise sensibilization events about waste sorting
1,2,0,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:low
2,4,0,Collect frequency:2,Maintenance of water treatment facilities:true,Make farmers participate in building collection pits for pesticide packagings,Trimestrial collective waste collection:high
2,2,2,Collect frequency:2,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:low,Help farmers to buy manure:high
2,3,0,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:high
2,1,0,Collect frequency:2,Maintenance of water treatment facilities:true,Make farmers participate in building collection pits for pesticide packagings,Help farmers to buy manure:low
3,3,0,Collect frequency:2,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting,Drain and dredge:high
3,4,15,Collect frequency:2,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting,Put part of the fields in fallow
3,2,0,Collect frequency:2,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting,Drain and dredge:high
3,1,2,Collect frequency:2,Maintenance of water treatment facilities:true,Drain and dredge:high,Trimestrial collective waste collection:low
4,2,0,Collect frequency:2,Maintenance of water treatment facilities:true,Make farmers participate in building collection pits for pesticide packagings,Organise sensibilization events about waste sorting
4,3,17,Collect frequency:2,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:low,Organise sensibilization events about waste sorting
4,4,5,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to reduce pesticides use
4,1,2,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:low,Trimestrial collective waste collection:low
5,1,7,Collect frequency:4,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting,Trimestrial collective waste collection:low
5,2,15,Collect frequency:2,Maintenance of water treatment facilities:true,Drain and dredge:high
5,4,10,Collect frequency:2,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:high,Organise sensibilization events about waste sorting
5,3,0,Collect frequency:4,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting,Drain and dredge:low
6,2,0,Collect frequency:4,Maintenance of water treatment facilities:true,Put part of the fields in fallow
6,4,0,Collect frequency:4,Maintenance of water treatment facilities:false,Trimestrial collective waste collection:high,Organise sensibilization events about waste sorting
6,3,5,Collect frequency:4,Maintenance of water treatment facilities:false,Organise sensibilization events about waste sorting,Drain and dredge:low
6,1,25,Collect frequency:4,Maintenance of water treatment facilities:true,Help farmers to buy manure:low
