turn,player,budget,action1,action2,action3,action4,action5,action6
1,1,15,Collect frequency:2,Maintenance of water treatment facilities:false,Organise sensibilization events about waste sorting,Help farmers to buy manure:low,Drain and dredge:low
1,3,35,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:low,Drain and dredge:low
1,4,15,Collect frequency:2,Maintenance of water treatment facilities:false,Drain and dredge:low,Put part of the fields in fallow
1,2,10,Collect frequency:2,Maintenance of water treatment facilities:false,Put part of the fields in fallow,Drain and dredge:low
2,1,10,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:low,Drain and dredge:high
2,3,10,Collect frequency:4,Maintenance of water treatment facilities:false,Help farmers to buy manure:high
2,4,12,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:high,Trimestrial collective waste collection:low
2,2,5,Collect frequency:2,Maintenance of water treatment facilities:false,Organise sensibilization events about waste sorting,Help farmers to buy manure:high
3,2,2,Collect frequency:2,Maintenance of water treatment facilities:false,Make farmers participate in building collection pits for pesticide packagings,Help farmers to buy manure:low,Trimestrial collective waste collection:low
3,4,0,Collect frequency:2,Maintenance of water treatment facilities:false,Drain and dredge:high,Trimestrial collective waste collection:high
3,3,10,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:high,Drain and dredge:low
3,1,10,Collect frequency:2,Maintenance of water treatment facilities:false,Make farmers participate in building collection pits for pesticide packagings,Help farmers to buy manure:low
4,1,12,Collect frequency:4,Maintenance of water treatment facilities:false,Organise sensibilization events about waste sorting,Trimestrial collective waste collection:low
4,4,10,Collect frequency:2,Maintenance of water treatment facilities:false,Drain and dredge:low,Trimestrial collective waste collection:high
4,2,2,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:high,Organise sensibilization events about waste sorting,Trimestrial collective waste collection:low
4,3,15,Collect frequency:2,Maintenance of water treatment facilities:false,Make farmers participate in building collection pits for pesticide packagings,Help farmers to buy manure:low
5,4,5,Collect frequency:2,Maintenance of water treatment facilities:false,Make farmers participate in building collection pits for pesticide packagings,Help farmers to buy manure:low
5,2,0,Collect frequency:2,Maintenance of water treatment facilities:false,Drain and dredge:high,Help farmers to buy manure:high
5,1,10,Collect frequency:2,Maintenance of water treatment facilities:false,Trimestrial collective waste collection:high,Drain and dredge:low
5,3,0,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:high,Trimestrial collective waste collection:high
6,2,0,Collect frequency:2,Maintenance of water treatment facilities:false,Install water treatment facilities for every home:(P1%75;P2%55;P3%45;P4%65;),Help farmers to buy manure:high
6,3,10,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:low
6,4,10,Collect frequency:2,Maintenance of water treatment facilities:false
6,1,0,Collect frequency:2,Maintenance of water treatment facilities:false
7,4,2,Collect frequency:4,Maintenance of water treatment facilities:true,Organise sensibilization events about waste sorting,Trimestrial collective waste collection:low
7,2,15,Collect frequency:2,Maintenance of water treatment facilities:true,Drain and dredge:low,Help farmers to buy manure:low,Organise sensibilization events about waste sorting
7,1,15,Collect frequency:2,Maintenance of water treatment facilities:true,Help farmers to buy manure:low,Drain and dredge:low
7,3,2,Collect frequency:2,Maintenance of water treatment facilities:true,Trimestrial collective waste collection:low,Help farmers to buy manure:high
